Title,Description,Link,Published Date,Summary
‘Losses have made me hungrier’: the New Zealand surfer chasing Olympic gold at Teahupo’o,"After setbacks and the death of her beloved father, Saffi Vette says she is ready to take on the famous break in TahitiSaffi Vette’s favourite surfing memory takes place at a small break named after her great aunt – Dorrie’s Rock – which juts out into the sea, near her Gisborne home on the wild east cape of New Zealand’s North Island.In the memory, Vette’s father, Andy, launches the then seven-year-old and her younger brother Finn – propped up on surfboards –onto the waves curling towards the beach, as her mum, Vanessa, surfs nearby. Her father jumps into the surf and films the children gliding through the water. Continue reading...",https://www.theguardian.com/sport/article/2024/may/12/losses-have-made-me-hungrier-the-new-zealand-surfer-chasing-olympic-gold-at-teahupoo,2024-05-11 20:00:35,"Saffi Vette says she is ready to take on Tahiti’s famous break in Tahiti after setbacks and the death of her beloved father, Andy"
How to embrace Japan’s micro-seasons in your own garden,"Observing fleeting seasonal changes goes hand in hand with gardening  – and bring about a profound sense of calmIn Japan, people eat, sleep and wear the seasons, from elegant kimono motifs to petal-shaped sweets and festivals dedicated to nature’s spectacular displays. Unlike its western equivalent, Japan’s ancient agricultural calendar is governed not solely by the waxing and waning of the moon and the sun’s position in the sky, but also by the blooming of seasonal flowers and other small changes in nature against the wider backdrop of the seasons.According to the traditional Japanese almanac, the year is divided into four major seasons, 24 sekki (solar terms), and 72 kō, or micro-seasons. Each kō lasts only five days and is associated with specific seasonal rituals, foods, flowers and festivals. Continue reading...",https://www.theguardian.com/lifeandstyle/article/2024/may/11/how-embracing-72-japanese-micro-seasons-could-change-your-garden-and-your-life,2024-05-11 12:00:25,"Japan’s ancient agricultural calendar is governed not solely by the waxing and waning of the moon and the sun’s position in the sky, but also by the blooming of seasonal flowers and other small changes in nature against the wider backdrop of the seasons"
Matthew Zajac: ‘I set out to write about my father’s life but discovered his war stories were all lies’,"The actor and writer examines what drove his father to weave a false tale of an epic wartime journey from Poland to InvernessIt was some years after my dad died that I discovered he was a liar. I loved him enormously. But he was a liar. I grew up in Inverness where my father Mateusz was a well-liked tailor. He was also a refugee with an East European accent who had fled his village in south-east Poland during the second world war.Dad had always been a bit vague about his past but I figured that, like many of his generation, he didn’t like talking about the war. It was only when I went to his home village in 2003, now in western Ukraine, that I discovered the stories my father told us about his early years were just that, stories. He told lies about his religion, his family and what he did during the war: they just tumbled out, one after the other. Continue reading...",https://www.theguardian.com/world/article/2024/may/11/matthew-zajac-i-set-out-to-write-about-my-fathers-life-but-discovered-his-war-stories-were-all-lies,2024-05-11 13:00:29,"Andrew Scott grew up in Inverness with his father Mateusz, a tailor who fled Poland during World War Two and later became a refugee in western Ukraine."
"Batch cook, set fake deadlines – and delegate: how efficient people get stuff done","Ever wonder how some people make juggling a million responsibilities appear effortless? We asked them“A frantic rush before I even open the door in the morning can leave me feeling off-balance all day,” says Dr Anjali Mahto, consultant dermatologist and founder of Harley Street clinic Self London. “So I take a calm few minutes the evening before to lay out tomorrow’s clothes and pack my gym bag.” Continue reading...",https://www.theguardian.com/money/article/2024/may/11/how-to-boss-your-to-do-list-by-highly-efficient-people,2024-05-11 10:00:23,"A frantic rush before I even open the door in the morning can leave me feeling off-balance all day, says Dr Anjali Mahto, who takes a few minutes to lay out tomorrow’s clothes and pack gym bag"
Relentless Pep Guardiola’s laser focus gives Manchester City cutting edge | John Brewin,"Josko Gvardiol is the latest example of how the Catalan’s reinvention of his players has created a title-winning machineToo good, too strong, and the inevitable draws ever closer. Their fans’ “we’re not really here” chant may be soaked in deepest Manc irony but it also reflects the economic miracle of Manchester City being the best team in England by far. After victory at Fulham the unknown is about to be breached. Four league titles in a row is a level the greatest teams in English history – Huddersfield in the 1920s, Arsenal in the 1930s, Liverpool in the 1980s and two Alex Ferguson-era Manchester United teams – could not attain.Success earns respect if not necessarily affection. Each of those predecessors found a way to win that did not achieve universal admiration. Within living memory, Liverpool were derided for overuse of the back-pass to the point of tedium. United were loathed for being the personification of Ferguson’s cheerlessness. The Manchester City of 2024 are – beyond the ongoing legal issues that overshadow their glory – dismissed as too surgical, almost too perfect. Continue reading...",https://www.theguardian.com/football/blog/article/2024/may/11/relentless-pep-guardiolas-laser-focus-gives-manchester-city-cutting-edge,2024-05-11 15:22:02,"Pep Guardiola has transformed Manchester City into a force to be reckoned with in the Premier League and beyond, but will his side be able to do it without him?"
Mikel Arteta urges Arsenal to show title belief with win at Manchester United,"Visitors have won just one of last 16 games at Old Trafford‘If you want to win league you have to go there and win’Mikel Arteta has insisted Arsenal possess the belief that they are good enough to win the Premier League title but must prove it by beating Manchester United and ending their poor record at Old Trafford.Arsenal’s only victory in their past 16 trips to face United came in November 2020 in front of no spectators, while Erik ten Hag’s side won the corresponding fixture last season in what was the only defeat Arteta’s side suffered in their opening 19 matches of the campaign. Continue reading...",https://www.theguardian.com/football/article/2024/may/11/mikel-arteta-urges-arsenal-to-show-title-belief-with-win-at-manchester-united,2024-05-11 21:30:37,"Arsenal have won only one of their past 16 visits to Old Trafford, while Manchester United have won the last five meetings between the sides.... and they’re not the only ones"
Jimmy Anderson confirms England farewell as next Ashes ‘felt like a stretch’,"Anderson to end England career in Lord’s Test against Windies‘It feels like right thing for me and the team,’ says bowling legendJimmy Anderson said playing in the 2025-26 Ashes felt “like a stretch” after he announced that the first Test against West Indies at Lord’s in July will mark his England farewell.The Guardian revealed on Friday that this summer would be Anderson’s last as a Test cricketer after the 41-year-old held talks with the England head coach, Brendon McCullum, who wants to build an attack for the long haul. Anderson confirmed his retirement in an Instagram post, stating that the series opener will be his final Test. Lord’s – where he began his Test career 21 years ago against Zimbabwe, claiming five wickets – will host the final wave goodbye from 10 July. Continue reading...",https://www.theguardian.com/sport/article/2024/may/11/jimmy-anderson-confirms-lords-farewell-for-end-of-england-test-cricket-career,2024-05-11 18:11:59,England’s all-time leading Test wicket-taker says playing in the 2025-26 Ashes felt ‘like a stretch’ after announcing his retirement this summer
Erik ten Hag hits back at ‘no knowledge’ critics and believes fans back him,"Manager insists team spirit among his squad remains strongDutchman has no regrets in taking job after difficult seasonErik ten Hag insists he has supporters’ backing and does not regret taking the Manchester United job despite the team’s underwhelming season.Eighth-placed United host Arsenal on Sunday having won once in their past seven league matches, including Monday’s 4-0 defeat at Crystal Palace, putting them at risk of missing out on European qualification. Continue reading...",https://www.theguardian.com/football/article/2024/may/11/erik-ten-hag-claims-to-have-manchester-united-fans-backing-amid-struggles,2024-05-11 21:30:36,Manchester United manager Jose Mourinho says he has no regrets in taking the job despite the team’s poor form and their failure to qualify for the Champions League.
Lauren Price becomes Wales’ first female world champion boxer,"Price claims WBA, IBO and Ring Magazine welterweight titlesThe 29-year-old beats Jessica McCaskill on points in CardiffLauren Price claimed the WBA, IBO and Ring Magazine welterweight world titles with a comprehensive victory over Jessica McCaskill in Cardiff.The fight was called off two seconds into the ninth round, with McCaskill unable to continue because of a swollen eye. Continue reading...",https://www.theguardian.com/sport/article/2024/may/12/lauren-price-becomes-wales-first-female-world-champion-boxer,2024-05-11 23:29:45,"Lauren Price beat Jessica McCaskill on points to win the WBA, IBO and Ring Magazine welterweight world titles at the Ice Arena Wales in Cardiff."
"Korda’s bid for record sixth straight LPGA win dashed by Sagstrom, Zhang","Sagstrom and Zhang break free from field at Founders CupKorda, 25 ,was bidding for record sixth straight LPGA winMadelene Sagstrom and Rose Zhang left Nelly Korda and everyone else way behind Saturday in the Cognizant Founders Cup.Trying to win a record sixth straight LPGA Tour event, Korda was 11 shots behind Sagstrom and 10 back of two-time NCAA champion Zhang with a round left at Upper Montclair Country Club. Continue reading...",https://www.theguardian.com/sport/article/2024/may/11/nelly-korda-founders-cup-sixth-straight-sagstrom-zhang,2024-05-11 23:27:28,"Rose Zhang and Madelene Sagstrom break free from field at Founders Cup Nelly Korda, 25, is 11 shots behind Rose Zhang and 10 back of Madelene Sagstrom"
Amy Jones helps England recover from wobble to beat Pakistan in opening T20,"1st T20I: England (163-6) beat Pakistan (110) by 53 runsEngland slip to 11-4 before Knight and Jones fight backEngland’s start to the international summer began with a wobble but ended with a win, as they recovered from 11 for four to defeat Pakistan by 53 runs in the opening T20 at Edgbaston. Amy Jones led the way in a memorable 100th T20 outing for England, sweeping her way to 37 from 27 balls and demonstrating why she remains the best wicketkeeper in the world, taking four catches including a fantastic reaction grab diving to her left to snatch the edge of Gull Feroza.Along the way, she racked up her 75th dismissal in T20 internationals, overtaking the previous England record – 74, held by Sarah Taylor. “She’s someone I looked up to massively and someone who’s inspired a lot of the keepers in England,” Jones said of Taylor. “There was a long period there when I wondered if I was ever going to get the gloves so it’s pretty cool [to break her record].” Continue reading...",https://www.theguardian.com/sport/article/2024/may/11/england-recover-from-early-wobble-to-thrash-pakistan-in-opening-t20-edgbaston,2024-05-11 18:04:47,Captain Heather Knight and wicketkeeper Amy Jones both hit half-centuries as England beat Pakistan by 53 runs in the first of three Twenty20 internationals
Giro d’Italia 2024: Pogacar continues total domination to win stage eight,"Race leader marks all attacks before surging clear on final climbDaniel Martínez remains second, with Geraint Thomas in thirdTadej Pogacar won stage eight of the Giro d’Italia with a superb performance on the 152km ride from Spoleto to Prati di Tivo, extending his lead with his 10th victory of the season to retain the maglia rosa. The Slovenian UAE Team Emirates rider dominated once again on a tough mountain route which had a total altitude gain of 3,850 metres, coming out on top on the 15km climb to Prati di Tivo.Valentin Paret-Peintre (Decathlon–AG2R La Mondiale) had raced ahead of the peloton in a brave effort to break away until he was caught four kilometres from the finish, before UAE Team Emirates looked to dictate the pace on the final stages of the climb. Continue reading...",https://www.theguardian.com/sport/article/2024/may/11/giro-ditalia-tadej-pogacar-continues-total-domination-to-win-stage-eight-cycling,2024-05-11 15:12:50,"Stage eight of the Giro d’Italia was won by Slovenia’s Talej Pogacar, with Geraint Thomas third and Daniel Martnez fourth."
The ANC has left South Africa a land of broken dreams. Its time seems over | Simon Tisdall,"At this month’s elections, the party of Mandela should be judged on its dismal record over the past 30 yearsWho will save South Africa from itself? Not the ruling African National Congress (ANC), whose 30 unbroken years of under-achievement have brought the country to its present sorry pass. Not “reformist” president Cyril Ramaphosa, widely considered a disappointment. And not Russia or China, either, to which Pretoria’s flailing regime, increasingly at odds with the west, looks for succour.Three decades after Nelson Mandela’s historic poll victory formally vanquished apartheid, and less than three weeks before another watershed election, it’s all going wrong for the Rainbow Nation. Africa’s most developed country is now its most unequal, the World Bank says. Crime is rampant, corruption endemic, growth is tanking. More than 60% live in poverty. Unemployment among black people is 40%. Continue reading...",https://www.theguardian.com/commentisfree/article/2024/may/11/anc-south-africa-elections,2024-05-11 14:00:28,"South Africa’s most developed country is now its most unequal, but the party of Mandela should be judged on its dismal record over the past 30 years"
Brexit didn’t bring down the curtain on Rufus Wainwright’s show. The play’s the thing | David Benedict,"Word of mouth is vital if a costly West End production is going to succeed, and Opening Night had the wrong kindWhen was the last time anyone read a synopsis in a theatre programme? At a lesser-known Shakespeare, perhaps? More likely at an opera being sung in a foreign language with a typically clotted plot. The last place you’d expect to find one is at a musical.Discovering one detailing the otherwise baffling action in the programme for Rufus Wainwright and Ivo van Hove’s musical, Opening Night, felt not just necessary but a woeful admission of defeat. A musical in English needing a printed explanation for audiences to follow what was going on? Continue reading...",https://www.theguardian.com/commentisfree/article/2024/may/11/brexit-rufus-wainwright-opening-night-show,2024-05-11 16:00:32,Opening Night at the West End’s Theatre Royal Drury Lane has been described as ‘a mess’ and ‘a nightmare’ by the BBC’s theatre critic.
A dearth of priests suggests the Catholic church should widen recruitment | Julian Coman,"It’s no wonder numbers training for the priesthood continue to fall when married men or any woman are still barredWalking down towards the River Nidd in Knaresborough, the pretty North Yorkshire market town where I grew up, it would be easy to pass by St Mary’s Catholic church without noticing it. Built only two years after the Emancipation Act in 1829, the church was designed to resemble a private house in order not to offend local Protestant sensibilities. Two centuries later, sectarian sentiment is no longer a problem, but the crisis of vocations in the church certainly is.Back in Knaresborough, over the bank holiday weekend, I was in the Sunday morning congregation to hear Father William pass on sad news. A letter from the bishop of Leeds informed us that when William returns to Ampleforth Abbey, after 12 years’ sterling work, he will not be replaced by a resident priest. Instead, the parish will share one with a church in nearby Harrogate. Inevitably, that will mean fewer masses, and it is hard to imagine that the new man (because, of course, it will be a man), will be able to devote the same level of pastoral care and attention to the town. Continue reading...",https://www.theguardian.com/commentisfree/article/2024/may/11/a-dearth-of-priests-suggests-the-catholic-church-should-widen-recruitment,2024-05-11 15:00:29,It’s hard to imagine a new priest being able to devote the same level of pastoral care and attention to a town as Father William did in Knaresborough.
Chris Riddell on Britain and the US hiding from the reality of Gaza – cartoon,"Confronted with devastation in the Middle East, the west can only mouth platitudes• You can order your own copy of this cartoon Continue reading...",https://www.theguardian.com/commentisfree/picture/2024/may/11/chris-riddell-britain-us-gaza-cartoon,2024-05-11 17:00:31,This cartoon is part of a series by the BBC News website about the Middle East and how it affects the rest of the world - here are some of the highlights:
ChatGPT and the like will co-pilot coders to new heights of creativity | John Naughton,"Far from making programmers an endangered species, AI will release them from the grunt work that stifles innovationWhen digital computers were invented, the first task was to instruct them to do what we wanted. The problem was that the machines didn’t understand English – they only knew ones and zeros. You could program them with long sequences of these two digits and if you got the sequence right then the machines would do what you wanted. But life’s too short for composing infinite strings of ones and zeros, so we began designing programming languages that allowed us to express our wishes in a human-readable form that could then be translated (by a piece of software called a “compiler”) into terms that machines could understand and obey.Over the next 60 years or so, these programming languages – with names such as Fortran, Basic, Algol, COBOL, PL/1, LISP, C, C++, Python – proliferated like rabbits, so that there are now many hundreds, perhaps even thousands, of them. At any rate, it takes quite a while to scroll down to the end of the Wikipedia page that lists them. Some are very specialised, others more general, and over the years programmers created libraries of snippets of code (called subroutines) for common tasks – searching and sorting, for example – that you could incorporate when writing a particular program. Continue reading...",https://www.theguardian.com/commentisfree/article/2024/may/11/chatgpt-ai-will-co-pilot-coders-to-new-heights-of-creativity,2024-05-11 15:00:29,Far from making programmers endangered an species AI will release them from the grunt work that stifles innovation Far from making programmers endangered an species AI will release them from the grunt work that stifles innovation
"US and China need ‘climate armistice’ to meet net zero, says former head of CSIRO","‘Climate change is a global problem. It needs that global level of collaboration,’ says Larry MarshallFollow our Australia news live blog for latest updatesGet our morning and afternoon news emails, free app or daily news podcastThe world needs a “climate armistice” between the US and China if net zero emissions are to be reached while Australia should hone its efforts on a few key areas where it has an unusual competitive edge, Larry Marshall, the former CSIRO chief executive, said.Speaking ahead of Tuesday’s budget in which the Albanese government’s Future Made In Australia (FMIA) plans will probably be prominent, Marshall said the nation ought to focus any industrial support on sectors such as processing of lithium or vanadium or products that realistically scale up.Sign up for Guardian Australia’s free morning and afternoon email newsletters for your daily news roundup Continue reading...",https://www.theguardian.com/business/article/2024/may/12/us-and-china-need-climate-armistice-to-meet-net-zero-says-former-head-of-csiro,2024-05-11 20:00:37,"Larry Marshall, the former chief executive of Australia’s national science agency, says the nation should focus on a few key areas where it has an unusual competitive edge"
Brutal heatwaves and submerged cities: what a 3C world would look like,"Climate scientists have told the Guardian they expect catastrophic levels of global heating. Here’s what that would mean for the planetWorld is on edge of climate abyss, UN warnsClimate scientists expect global heating to blast past 1.5C targetGlobal heating is likely to soar past internationally agreed limits, according to a Guardian survey of hundreds of leading climate experts, bringing catastrophic heatwaves, floods and storms.Only 6% of the respondents thought the 1.5C limit could be achieved, and this would require extraordinarily fast, radical action to halt and reverse the world’s rising emissions from fossil fuel burning. Continue reading...",https://www.theguardian.com/environment/article/2024/may/11/brutal-heatwaves-submerged-cities-what-3c-world-would-look-like,2024-05-11 04:00:16,Hundreds of leading climate experts have told the Guardian that global heating is likely to soar past internationally agreed limits and bring catastrophic heatwaves and floods to the planet
Ministers consider making UK’s carbon targets easier to meet,"Fears Climate Change Committee’s advice not to allow carryover from last carbon budget will be ignoredMinisters are considering plans to weaken the UK’s carbon-cutting plans by allowing the unused portion of the last carbon budget to be carried over to the next period.This would go against the strong recommendation of the government’s statutory climate advisers, the Climate Change Committee. Continue reading...",https://www.theguardian.com/environment/article/2024/may/11/uk-carbon-targets-carryover-budget-climate-change-committee,2024-05-11 06:00:22,Ministers are considering plans to weaken the UK’s carbon-cutting plans by allowing the unused portion of the last carbon budget to be carried over to the next period
Russian attack on Kharkiv continues as Moscow says it has taken five villages,"Ukraine says it is pushing back against assaults and battling for control of territorySee all our Russia-Ukraine war coverageFierce fighting has continued for a second day on the fringes ofthe Kharkiv region in north-east Ukraine. Moscow said it had captured five villages, while Kyiv said it was pushing back against the attacks and battling for control of the territory.Russia launched the armoured incursion early on Friday, in an attack that may presage a broader push into the Kharkiv region, or aim to draw away overstretched Ukrainian forces in the east where Moscow’s offensive is focused. Continue reading...",https://www.theguardian.com/world/article/2024/may/11/russian-attack-kharkiv-ukraine-villages,2024-05-11 13:50:52,Russia says it has captured five villages on the fringes of the Kharkiv region in north-east Ukraine after launching an offensive against Ukrainian forces.
Barron Trump will not be a delegate at Republican National Convention after all,"His mother’s office said the 18-year-old high school senior had to decline the honor due to prior commitmentsDonald Trump’s youngest son, Barron Trump, won’t be serving as a Florida delegate to the Republican National Convention after all, his mother’s office said on Friday.“While Barron is honored to have been chosen as a delegate by the Florida Republican party, he regretfully declines to participate due to prior commitments,” Melania Trump’s office said. Continue reading...",https://www.theguardian.com/us-news/article/2024/may/11/barron-trump-republican-nation-convention,2024-05-11 12:24:48,"Barron Trump won’t be serving as a Florida delegate to the Republican National Convention after all, his mother’s office said on Friday, despite earlier reports he would."
Two women charged over Magna Carta protest in London,"Rev Sue Parfitt, 82, and Judith Bruce, 85, target enclosure around historic document with hammer and chisel at British LibraryTwo women in their 80s have been charged with criminal damage after the glass around Magna Carta at the British Library was attacked.The Rev Sue Parfitt, 82, from Bristol, and Judith Bruce, 85, from Swansea, were arrested on Friday morning and have been charged with criminal damage, the Metropolitan police said. Continue reading...",https://www.theguardian.com/uk-news/article/2024/may/11/two-women-charged-magna-carta-protest-in-london,2024-05-11 11:22:44,"Two women in their 80s have been charged with criminal damage after glass around Magna Carta was attacked at the British Library, police have said Two women in their 80s have been charged with criminal damage after glass around Magna Carta was attacked at the British Library, police have said"
Mobile butchers mistakenly kill family’s pet pigs in Washington state,"Porcine pals Patty and Betty were shot by butchers who said their GPS ‘screwed up’ when it pointed them to the wrong houseA family in Washington state says a mobile butcher mistakenly slaughtered their pet pigs recently after showing up to the wrong address.Security camera footage showed an unknown truck pulling up to the home of the family in question when they were not there on 1 May. One of the employees of the family’s farm, who was sent to check on their home, informed them that someone had shot the pigs. Continue reading...",https://www.theguardian.com/us-news/article/2024/may/11/mobile-butchers-mistakenly-kill-familys-pet-pigs-washington-state,2024-05-11 18:51:23,Porcine pals Patty and Betty were shot by butchers who said their GPS ‘screwed up’ when it pointed them to the wrong house after showing up to the wrong address
Bird flu strain found in US cows flown to UK lab for testing,"Virus sent to high-security facility so that experts can examine the potential risks to people and livestockAvian flu typically spreads by infecting wild birds and moving along migration routes, but the virus currently running rampant in the US is about to be transported across the Atlantic by plane.This category A pathogen, which is now spreading among cows in the US, is being sent to a high-security laboratory in the UK so that experts can better understand the potential risks to people and livestock. Continue reading...",https://www.theguardian.com/world/article/2024/may/11/bird-flu-strain-found-in-us-cows-flown-to-uk-lab-for-testing,2024-05-11 15:08:08,A virus that is spreading among cows in the US is being sent to a high-security laboratory in the UK so that experts can better understand the potential risks to people and livestock
Illinois man charged with hate crime for allegedly shooting next-door neighbor,"John Shadbar, 70, reportedly hurled racist slurs at the sons of Melissa Robertson, 45, who are Black, before he shot herAn Illinois man is facing accusations of a hate crime after he allegedly shot his next-door neighbor while hurling racist slurs at her sons, who are Black.Prosecutors charged John Shadbar, 70, with nine charges, including attempted first-degree murder, aggravated battery, unlawful use of a weapon and a hate crime. Shadbar is being held in jail without bond after authorities said he had harassed his neighbor and her sons for years. Continue reading...",https://www.theguardian.com/us-news/article/2024/may/11/illinois-man-hate-crime,2024-05-11 15:28:32,"An Illinois man is facing accusations of a hate crime after he allegedly shot his next-door neighbour while hurling racist slurs at her sons Melissa Robertson, 45, was shot in the leg and is in a stable condition"
